Brand,City,Country,Sum of Latitude,Sum of Longitude,Postcode,State/Province,Store Name,Store Number
Starbucks,Akron,US,41.07,-81.52,443041720,OH,"University of Akron, Exchange Stree",7109-146946
Starbucks,Akron,US,40.99,-81.49,443124716,OH,"Akron, South Arlington Rd",9961-98933
Starbucks,Akron,US,40.98,-81.49,443125216,OH,Target Green (Akron) T-2346,76844-111569
Starbucks,Akron,US,41.11,-81.58,44313,OH,West Market Street,2736-250486
Starbucks,Akron,US,41.08,-81.51,443250002,OH,University Of Akron Library,48696-255486
Starbucks,Akron,US,41.08,-81.51,443250016,OH,U of Akron - Student Union,75223-92998
Starbucks,Akron,US,41.08,-81.52,443250035,OH,"University of Akron, Polsky Buildin",75387-100161
Starbucks,Akron,US,41.14,-81.64,443332440,OH,Fairlawn,2301-1390
Starbucks,Akron,US,41.13,-81.62,443333337,OH,Summit Mall,15194-158106
Starbucks,Al Ain,AE,24.12,55.4,"",AZ,Al Ain Ladies Club,29306-253248
Starbucks,Al Ain,AE,25.1,55.39,"",AZ,Al Ain Mall,16257-166109
Starbucks,Al Ain,AE,24.16,55.81,"",AZ,Bawadi Mall,1926-141411
Starbucks,Al Ain,AE,25.24,55.29,"",AZ,Jahli Park,17291-169884
Starbucks,Al Ain,AE,24.24,55.73,"",AZ,Jimmy Mall,34332-97778
Starbucks,Al Ain,AE,24.13,55.8,"",AZ,Oasis Hospital,17788-183965
Starbucks,Al Ain,AE,24.21,55.69,"",AZ,Wahat Hili Mall,24510-238164
Starbucks,Al Ain,AE,24.19,55.65,3167,AZ,Tawam Hospital,32640-131563
Starbucks,Al Barsha,AE,25.05,55.23,"",DU,Al Barsha Commercial,15060-156348
Starbucks,AL KHARJ,SA,24.74,46.68,"",1,RIYADH,27352-247328
Starbucks,Al Riffa,BH,26.22,50.58,"",14,The Walk,18359-188905
Starbucks,Al Riqqa,KW,29.09,48.06,0,AH,Al Riqqa Park,48781-265294
Starbucks,Alabaster,US,33.23,-86.81,350074657,AL,Target Alabaster T-2276,76795-96265
Starbucks,Alabaster,US,33.22,-86.8,350074690,AL,I-65 & US HWY 31,13210-95453
Starbucks,Alabaster,US,33.21,-86.83,350075387,AL,Hwy 119 & Kent Dairy,10796-102254
Starbucks,Alajuela,CR,9.6,-84.12,"",A,Aeropuerto Juan Santamaria,27715-248634
Starbucks,Alajuela,CR,10.01,-84.21,"",A,Plaza Real - Alajuela,26615-244754
Starbucks,Alameda,US,37.79,-122.28,94501,CA,Safeway - Alameda 3281,23463-230284
Starbucks,Alameda,US,37.78,-122.28,94501,CA,Target Alameda T-2829,19859-196187
Starbucks,Alameda,US,37.77,-122.23,945011587,CA,Tilden & Blanding,11161-103516
Starbucks,Alameda,US,37.78,-122.28,945012176,CA,Webster & Atlantic - Alameda,5535-728
Starbucks,Alameda,US,37.76,-122.24,945014542,CA,Park & Central Alameda,6479-62999
Starbucks,Alameda,US,37.76,-122.25,945015761,CA,Alameda Towne Center,5335-904
Starbucks,Alameda,US,37.76,-122.25,945018029,CA,Safeway - Alameda #2708,74877-100291
Starbucks,Alamo,US,37.85,-122.03,945071529,CA,Safeway-Alamo #962,74118-22881
Starbucks,Alamo,US,37.85,-122.03,945071913,CA,Las Trampas & Danville Blvd,5543-1657
Starbucks,Alamogordo,US,32.9,-105.95,88310,NM,Albertsons - Alamogordo #1053,23941-230639
Starbucks,Alamosa,US,37.47,-105.88,811012120,CO,Safeway-Alamosa #1681,74491-96635
Starbucks,Albany,US,42.66,-73.79,122031400,NY,College St. Rose,75393-105057
Starbucks,Albany,US,42.68,-73.83,122033322,NY,1244 Western Ave,11194-103976
Starbucks,Albany,US,42.68,-73.84,122033520,NY,Stuyvesant Plaza,7335-1053
Starbucks,Albany,US,42.69,-73.85,122035367,NY,Crossgates Mall,11064-103915
Starbucks,Albany,US,42.73,-73.8,122051114,NY,Albany Shaker Rd and Wolf Rd,11810-104532
Starbucks,Albany,US,42.71,-73.82,122052609,NY,Wolf Road,7379-1056
Starbucks,Albany,US,42.71,-73.82,122055118,NY,Target Colonie T-1268,15207-156777
Starbucks,Albany,US,42.65,-73.75,122072702,NY,North Pearl Street,7922-92120
Starbucks,Albany,US,42.65,-73.78,122083466,NY,New Scotland Avenue,11275-103630
